FoodName,Calories_Kcal,Carbohydrate(g),Protein(g),Fat(g),Fiber(g),FoodType
Basmati Rice,359,76.7,9.2,1,0.5,dinner
chana daal,380,60,22,6,18,dinner
moong dal,480,88,32,2,23.94,dinner
masoor dal,129,14.3,7.1,0,4.3,dinner
fapar ko dhido,92,19.9,3.4,0.6,2.7,dinner
soybeans,446,30,36,20,9,dinner
cauliflower(mash),95,12.7,2.1,4.7,1.6,dinner
cauliflower(with potato),133,11.3,2.1,9.2,1.41,dinner
cauliflower(boiled),23,4.1,1.8,0.5,2.3,dinner
dhido,237,44,8.4,3.4,3,dinner
gundruk,322,38,39,2,0,dinner
onion,40,9.3,1.1,0.1,1.7,dinner
salmon(steam),152,0.8,16,9.6,0,dinner
salmon,247,0,19.4,18.8,0,dinner
shrimps,102,0,24,0.7,0,dinner
tuna,207,0,28.3,10.4,0,dinner
prawn,75,0.1,16.7,0.8,0,dinner
trout fish,185,0,20.4,10.6,0,dinner
crab,102,0,20.2,1.8,0,dinner
lentil sprouts,106,22.1,9,0.6,7,dinner
pumpkin leaves(cooked),21,3.4,2.7,0.2,2.7,dinner
chicken gizzaed(soup),151,13,16.5,3.1,2.29,dinner
lamb liver(fried),237,0,30.1,12.9,0,dinner
chicken liver(fried),400,33,19,25,1,dinner
bakula,341,63.4,19.5,1.2,14.6,dinner
bakula(dried),245,32.5,26.1,2.1,0,dinner
bodi,96,13.8,7.5,0.8,3.23,dinner
chana(curry),183,21.8,9.6,7.5,0,dinner
lauka(curry),28,4.6,0.8,1.2,1.36,dinner
bhaanta(curry),105,7.1,2.1,8.4,0,dinner
bhaanta(fried),43,4.6,1.5,2.1,3,dinner
niuro,34,6,4.6,0.1,1,dinner
rajma,134,22.8,8.7,0.5,6.4,dinner
ghiraula,56,14,0.3,0.7,2.9,dinner
chamasur,39,5.5,2.6,0.7,1.1,dinner
mushroom,50,5.5,1.3,2.7,0.4,dinner
bhindi,77,12,3.2,1.7,0,dinner
mula,16,3.4,0.9,0,1.72,dinner
pumpkin,20,4.9,0.7,0.1,1.1,dinner
chichinda,58,11.8,2.4,0,1.18,dinner
pindalu,141,29.5,0.8,0.1,0,dinner
gaava,112,26,1.5,0.2,4.1,dinner
broccoli(cooked),35,7.2,2.4,0.4,3.3,dinner
broccoli(steamed),34,4.6,2.3,0,2.3,dinner
gaanthye mula,25,5,1,0,3,dinner
cucumber,15,3.6,0.7,0.1,0.5,dinner
pea(curry),92,13,2.9,3.8,0,dinner
halva(carrot),354,44,4.7,18.8,0,dinner
capsicum,25,4,2,0.2,0,dinner
spinach,23,3.6,2.9,0.4,2.2,dinner
chamasur ko saag,38,5.5,2.6,0.7,1.1,dinner
bethe ko saag,23,4.9,2.7,0.7,2.3,dinner
palungo ko saag,43,9.6,1.6,0.2,2.8,dinner
iskush ko saag,23,3.9,2,0.2,1.7,dinner
keraau ko munto,35,7.1,2.4,0,2.4,dinner
phaapar ko saag,120,24,6,1.9,6.8,dinner
raayo ko saag,27,4.7,2.9,0.2,3.2,dinner
salgam ko saag,42,8.4,3.6,0.1,3.6,dinner
sisnu,37,6.8,2.7,0.6,2.4,dinner
tori ko saag,27,4.7,2.9,0.5,3.2,dinner
kwati,110,20,7,10,6,dinner
pulao,250,50,10,2.6,20,dinner
chicken,166,0,31.8,3.5,0,dinner
chicken breast with skin,125,1,23.8,3.1,0,dinner
chicken breast without skin(boiled),151,0,29,3,0,dinner
chicken(gravy),79,5.4,1.9,5.7,0.4,dinner
chicken broth,7,0.4,1,0.1,0.4,dinner
chicken(fried),291,10.6,20.3,18,1.4,dinner
mutton,286,5,14,23,2.5,dinner
mutton(curry),130,1.6,12,5.9,0.4,dinner
mutton(soup),163,12.9,11.6,7.2,2.44,dinner
chicken liver(cooked),167,1.7,20.7,9.7,0.7,dinner
lamb,225,0,17,17,1.9,dinner
buff,250,0,26,15,0,dinner
pork,163,0.4,23.3,7.6,0,dinner
khichadi,365,68.9,13.3,3.3,8.9,dinner
fish(fried),250,11,10,15,0.5,dinner
fish(steam),70,1,14,1.2,0,dinner
beans,341,63.6,20.4,1.1,15.9,dinner
fish(soup),72,5.6,7.4,2.2,0,dinner
barley(jau),361,78.3,10.3,1.8,7.1,dinner
uinoa(junelo),361,64.2,14,6,7,dinner
kidney beans,134,22.8,8.7,0.5,6.4,dinner
chicken liver(cooked),167,1.7,20.7,9.7,0.7,dinner
turkey(fried),304,0,23,23,0,dinner
chicken liver(cooked),167,1.7,20.7,9.7,0.7,dinner
turkey(breast),163,0,30.9,3.4,0,dinner
turkey(gravy),51,5.1,2.6,2.1,0.4,dinner
turkey(soup),57,6,4.3,1.9,0,dinner
roti,446,64.8,21.2,15.2,7.2,dinner
chicken gizzaard(fried),360,21,20,22,0,dinner
potato soup,647,6.6,1,1.8,1,dinner
brinjal,25,5.9,0.9,0.2,3,dinner
bell peppers,31,6,1.3,0.3,2.1,dinner
brussels sprouts,43,9,3.4,0.3,3.8,dinner
zucchini,17,3.1,1.2,0.3,1,dinner
asparagus,20,3.7,2.2,0.2,2.1,dinner
kale,49,9,4.3,0.9,2,dinner
beets,43,9.6,1.6,0.2,2.8,dinner
radish,16,3.4,0.7,0.1,1.6,dinner
